schedule_id,student_id,day_of_week,block_start,block_end,block_type,task_type,target_desc,is_active,is_completed
Fri_blk_1,pilot_ogrenci_01,Friday,14:30,15:00,etut,Blok 1: Konu Çalışması,Otomatik oluşturuldu,True,False
Fri_brk_1,pilot_ogrenci_01,Friday,15:00,15:10,mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Fri_blk_2,pilot_ogrenci_01,Friday,15:10,15:40,etut,Blok 2: Konu Çalışması,Otomatik oluşturuldu,True,False
Fri_brk_2,pilot_ogrenci_01,Friday,15:40,16:10,uzun_mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Fri_blk_3,pilot_ogrenci_01,Friday,16:10,16:40,etut,Blok 3: Konu Çalışması,Otomatik oluşturuldu,True,False
Fri_brk_3,pilot_ogrenci_01,Friday,16:40,16:50,mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Fri_blk_4,pilot_ogrenci_01,Friday,16:50,17:20,etut,Blok 4: Konu Çalışması,Otomatik oluşturuldu,True,False
Fri_brk_4,pilot_ogrenci_01,Friday,17:20,17:50,uzun_mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Fri_blk_5,pilot_ogrenci_01,Friday,17:50,18:20,etut,Blok 5: Konu Çalışması,Otomatik oluşturuldu,True,False
Sat_blk_1,pilot_ogrenci_01,Saturday,14:30,15:00,etut,Blok 1: Konu Çalışması,Otomatik oluşturuldu,True,False
Sat_brk_1,pilot_ogrenci_01,Saturday,15:00,15:10,mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Sat_blk_2,pilot_ogrenci_01,Saturday,15:10,15:40,etut,Blok 2: Konu Çalışması,Otomatik oluşturuldu,True,False
Sat_brk_2,pilot_ogrenci_01,Saturday,15:40,16:10,uzun_mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Sat_blk_3,pilot_ogrenci_01,Saturday,16:10,16:40,etut,Blok 3: Konu Çalışması,Otomatik oluşturuldu,True,False
Sat_brk_3,pilot_ogrenci_01,Saturday,16:40,16:50,mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Sat_blk_4,pilot_ogrenci_01,Saturday,16:50,17:20,etut,Blok 4: Konu Çalışması,Otomatik oluşturuldu,True,False
Sat_brk_4,pilot_ogrenci_01,Saturday,17:20,17:50,uzun_mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Sat_blk_5,pilot_ogrenci_01,Saturday,17:50,18:20,etut,Blok 5: Konu Çalışması,Otomatik oluşturuldu,True,False
Sun_blk_1,pilot_ogrenci_01,Sunday,14:30,15:00,etut,Blok 1: Konu Çalışması,Otomatik oluşturuldu,True,False
Sun_brk_1,pilot_ogrenci_01,Sunday,15:00,15:10,mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Sun_blk_2,pilot_ogrenci_01,Sunday,15:10,15:40,etut,Blok 2: Konu Çalışması,Otomatik oluşturuldu,True,False
Sun_brk_2,pilot_ogrenci_01,Sunday,15:40,16:10,uzun_mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Sun_blk_3,pilot_ogrenci_01,Sunday,16:10,16:40,etut,Blok 3: Konu Çalışması,Otomatik oluşturuldu,True,False
Sun_brk_3,pilot_ogrenci_01,Sunday,16:40,16:50,mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Sun_blk_4,pilot_ogrenci_01,Sunday,16:50,17:20,etut,Blok 4: Konu Çalışması,Otomatik oluşturuldu,True,False
Sun_brk_4,pilot_ogrenci_01,Sunday,17:20,17:50,uzun_mola,Mola Zamanı ☕,Dinlen ve yenilen,True,False
Sun_blk_5,pilot_ogrenci_01,Sunday,17:50,18:20,etut,Blok 5: Konu Çalışması,Otomatik oluşturuldu,True,False
